Número secuencial;Sección Electoral;Código Postal;Hora de inicio de la entrevista;Hora de terminación de la entrevista;Sexo;Edad;Estado Civil;Grado máximo de estudios;Habitantes en el hogar;Personas_0_6;Personas_7_17;Personas_18_30;Personas_31_45;Personas_46_65;Personas_66_más;Relación con el jefe de familia;Tiene alguna actividad por la que recibe ingresos;¿Ha consumido alguna bebida alcohólica en los últimos 6 meses?;Principal razón por la que no bebe;Toma cerveza;Toma ron;ron2;Toma brandy;brandy2;Toma cognac;cognac2;Toma tequila;tequila2;Toma mezcal/aguardiente;mezcal2;Toma whisky;Toma vodka;vodka2;Toma ginebra;Toma anís;Toma vino tinto;Toma vino blanco;Toma bebida combinada;Toma bebida energizante;Toma pulque;Toma crema/bebida dulce;Toma otra bebida;Otro (especif.);Toma cerveza (frecuencia);Toma ron (frecuencia);Toma brandy (frecuencia);Toma cognac (frecuencia);Toma tequila (frecuencia);Toma mezcal/aguardte (frecuencia);Toma whisky (frecuencia);Toma vodka (frecuencia);Toma ginebra (frecuencia);Toma anís (frecuencia);Toma vino tinto (frecuencia);Toma vino blanco (frecuencia);Toma bebida combinada (frecuencia);Toma bebida energética (frecuencia);Toma pulque (frecuencia);Toma crema/bebida dulce (frecuencia);Toma otra bebida (1) (frecuencia);Toma cerveza (cantidad);Toma cerveza caguama (cantidad);Toma cerveza (cantidad sumada);Toma ron (cantidad);Toma brandy (cantidad);Toma cognac (cantidad);Toma tequila (cantidad);Toma mezcal/agdte (cantidad);Toma whisky (cantidad);Toma vodka (cantidad);Toma ginebra (cantidad);Toma anís (cantidad);Toma vino tinto (cantidad);Toma vino blanco (cantidad);Toma bebida combinada (cantidad);Toma bebida energética (cantidad);Toma pulque (cantidad);Toma crema/bebida dulce (cantidad);Toma otra bebida (1) (cantidad);Cerveza_Marca_A;Cerveza_Marca_B;Ron_Marca_A;Ron_Marca_B;Brandy_Marca_A;Brandy_Marca_B;Cognac_Marca_A;Cognac_Marca_B;Tequila_Marca_A;Tequila_Marca_B;Mezcal_Marca_A;Mezcal_Marca_B;Whisky_Marca_A;Whisky_Marca_B;Vodka_Marca_A;Vodka_Marca_B;Ginebra_Marca_A;Ginebra_Marca_B;Anís_Marca_A;Anís_Marca_B;VinoT_Marca_A;VinoT_Marca_B;VinoB_Marca_A;VinoB_Marca_B;Combina_Marca_A;Combina_Marca_B;Energ_Marca_A;Energ_Marca_B;Pulque_Marca_A;Pulque_Marca_B;Crema_Marca_A;Crema_Marca_B;Otra_1_Marca_A;Otra_1_Marca_B;Cerveza_Marca_A_razón;Cerveza_Marca_B_razón;Ron_Marca_A_razón;Ron_Marca_B_razón;Brandy_Marca_A_razón;Brandy_Marca_B_razón;Cognac_Marca_A_razón;Cognac_Marca_B_razón;Tequila_Marca_A_razón;Tequila_Marca_B_razón;Mezcal_Marca_A_razón;Mezcal_Marca_B_razón;Whisky_Marca_A_razón;Whisky_Marca_B_razón;Vodka_Marca_A_razón;Vodka_Marca_B_razón;Ginebra_Marca_A_razón;Ginebra_Marca_B_razón;Anís_Marca_A_razón;Anís_Marca_B_razón;VinoT_Marca_A_razón;VinoT_Marca_B_razón;VinoB_Marca_A_razón;VinoB_Marca_B_razón;Combina_Marca_A_razón;Combina_Marca_B_razón;Energ_Marca_A_razón;Energ_Marca_B_razón;Pulque_Marca_A_razón;Pulque_Marca_B_razón;Crema_Marca_A_razón;Crema_Marca_B_razón;Otra_1_Marca_A_razón;Otra_1_Marca_B_razón;Principal lugar donde consume bebidas;Porqué bebe;¿Ha tenido alguna vez problemas luego de beber?;Choque de automóvil;Problema con autoridades;Problemas familiares;Problema en el trabajo;Problemas en la escuela;Riña, agresión, violencia;Problemas de salud;Pérdida de memoria;Pérdida de conciencia;Sentimiento de culpa;Otro problema;Cuando bebe, ¿maneja?;¿Le han hecho la prueba del alcoholímetro?;Resultado de prueba del alcoholímetro;Edad a la primera vez que bebió;Nivel de Ingresos;Medio de transporte principal;Automóvil;Metro;Gasto semanal en transporte;Tiene tel. móvil;Marca tel. móvil;Tel. móvil (razón marca);Compañía tel. móvil;Forma de pago tel. móvil;Compañía tel. móvil (calificación del servicio);Coyoacán_Seguridad;Coyoacán_Transporte;Coyoacán_Vías de Comunicación;Coyoacán_Calidad de Vida;Coyoacán_Corrupción;Coyoacán_Servs_Públicos;Coyoacán_Escolar;Coyoacán_Medio_Ambiente;Coyoacán_Cultura;Seguridad_DF;Seguridad_MEXICO;Empleo_DF;Empleo_MEXICO;Economía_DF;Economía_MEXICO;Pobreza_DF;Pobreza_MEXICO;Corrupción_DF;Corrupción_MEXICO;Educación_DF;Educación_MEXICO;Salud_DF;Salud_MEXICO;Narco_DF;Narco_MEXICO;DH_DF;DH_MEXICO;Medio Ambiente_DF;Medio Ambiente_MEXICO;Calificación a Andrés Manuel López Obrador;Calificación a Claudia Sheinbaum;Calificación a Alcalde Coyoacán;No. de focos en la vivienda;Edad (rangos);Estado Civil (2);Grado máximo de estudios (rangos);Años de estudio (estimado);Nivel Socioeconómico (2 categorías);Nivel de Ingresos (recodificado);Focos per cápita;Razón por la que no bebe;Índice de Consumo Mensual de Bebidas Alcohólicas;Índice de Consumo de B. Alcohólicas (2 categorías)
116;663;04909;11:08:00 AM;11:22:00 AM;Hombre;38;Divorciado/Separado;Licenciatura incompleta;4;1;1;0;2;0;0;Es jefe (a) de familia;Sí;No;No me gustan;No;No;0;No;0;No;0;No;0;No;0;No;No;0;No;No;No;No;No;No;No;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NS/NC;5-7 SM;Metro;0;1;90,00;Sí;Samsung;Precio;Telcel;Prepago;Muy bueno;Buena;Regular;Buena;Buena;Regular;Muy buena;Regular;Regular;Buena;7;7;8;8;7;7;6;8;5;4;8;6;7;6;2;1;6;8;6;8;3;1;7;12;30-49;Divorciado/Separado;Licenciatura o más;14,5;Medio-Alto;2 - 7 SM;3,00;No le gusta;;
122;663;04909;3:07:00 AM;3:17:00 AM;Mujer;21;Unión libre;Licenciatura incompleta;4;1;0;1;0;2;0;Hijo (a);No;Sí;;Sí;No;0;No;0;No;0;No;0;No;0;Sí;No;0;No;No;No;No;No;No;No;No;No;;2 veces a la semana;;;;;;1 vez a la semana;;;;;;;;;;;3;2;9;;;;;;;;;;;;;;;;;CORONA;XX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Calidad;Costumbre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Casa de amigos, de familiares;Por gusto;No;;;;;;;;;;;;A veces;No;;18;;Metro;0;1;180,00;Sí;Apple;Calidad;Movistar;Plan;Regular;Mala;Mala;Muy buena;Regular;Regular;Buena;Muy buena;Buena;Regular;6;4;8;7;6;8;5;9;1;1;7;4;7;4;3;3;9;7;5;7;7;5;5;13;18-29;Casado-Unión Libre;Licenciatura o más;14,5;Medio-Alto;;3,25;;77,40;Medio-Alto
126;663;04909;4:15:00 AM;4:28:00 AM;Mujer;45;Unión libre;Secundaria completa;4;0;2;0;2;0;0;Esposo (a);No;No;Por ahora no me interesa;No;No;0;No;0;No;0;No;0;No;0;No;No;0;No;No;No;No;No;No;No;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Metro;0;1;200,00;Sí;Samsung;Precio;Unefon;Prepago;Regular;Regular;Muy Mala;Buena;Buena;Regular;Buena;Buena;Buena;Buena;5;5;8;6;8;7;6;7;3;2;9;5;8;4;5;3;9;5;3;6;7;3;5;15;30-49;Casado-Unión Libre;Hasta prepa (o equivalente) completa;9;Medio-Alto;;3,75;Lo considera conveniente;;
70;417;04369;4:40:00 AM;4:55:00 AM;Hombre;46;Unión libre;Licenciatura incompleta;2;0;1;0;1;1;0;Es jefe (a) de familia;Sí;Sí;;No;Sí;1;Sí;1;No;0;Sí;1;No;0;Sí;No;0;No;Sí;No;No;No;No;No;No;No;;;1 vez a la semana;1 vez a la quincena;;1 vez a la semana;;1 vez a la semana;;;1 vez al mes;;;;;;;;0;0;0;2;2;;4;;2;4;;1;;;;;;;;;;Clément;Centuria;1866;;;;Casamigos;Gran Patrón;;;Jack Daniel's;;;;;;Mico;;;;;;;;;;;;;;;;;;Sabor;Sabor;Precio;;;;Efecto estimulante;Efecto estimulante;;;Efecto estimulante;;;;;;Sabor;;;;;;;;;;;;;;;;Bares, cantinas, antros;Me siento obligado (trabajo, amigos, familia);No;;;;;;;;;;;;;;;18;2-3 SM;Metro;0;1;100,00;Sí;Samsung;Precio;Unefon;Prepago;Bueno;Buena;Regular;Regular;Muy buena;Muy Mala;Muy buena;Muy buena;Mala;Buena;3;3;7;5;4;4;6;6;1;4;7;5;7;6;1;4;8;7;4;7;1;6;5;9;30-49;Casado-Unión Libre;Licenciatura o más;14,5;Bajo-Medio;2 - 7 SM;4,50;;39,40;Medio-Alto
51;725;04310;6:08:00 PM;6:27:00 PM;Hombre;46;Divorciado/Separado;Prepa (o equivalente) incompleta;7;1;0;2;1;3;0;Hijo (a);Sí;Sí;;Sí;No;0;No;0;No;0;Sí;1;Sí;1;Sí;No;0;No;No;No;No;No;No;No;No;No;;1 vez al mes;;;;1 vez al mes;1 vez al mes;1 vez al mes;;;;;;;;;;;3;1;6;;;;1;1;1;;;;;;;;;;;VICTORIA;CORONA;;;;;;;DON JULIO;HORNITOS;ARTESANAL;;BUCHANAS;JOHNIEE WALKER;;;;;;;;;;;;;;;;;;;;;Sabor;Sabor;;;;;;;Calidad;Calidad;;;Sabor;Sabor;;;;;;;;;;;;;;;;;;;;;Otro lugar;Para convivir;Sí;No;Sí;Sí;No;No;Sí;No;Sí;No;Sí;;No maneja / Sin automóvil;;;9;3-5 SM;Metro;0;1;150,00;Sí;Samsung;Precio;Telcel;Prepago;Bueno;Regular;Buena;Buena;Buena;NS/NC;Regular;Regular;Buena;Buena;3;3;4;5;5;5;5;5;3;3;5;5;6;6;4;4;3;3;5;5;4;4;0;17;30-49;Divorciado/Separado;Hasta prepa (o equivalente) completa;10,5;Medio-Alto;2 - 7 SM;2,43;;9,00;Bajo-Medio
85;591;04480;12:00:00 PM;12:22:00 PM;Mujer;24;Viudo;Secundaria completa;2;0;0;1;1;0;0;Es jefe (a) de familia;Sí;Sí;;Sí;No;0;No;0;No;0;No;0;Sí;1;No;No;0;No;No;Sí;No;No;No;Sí;Sí;No;NA;Mas de 2 veces a la semana;;;;;1 vez al mes;;;;;1 vez a la quincena;;;;1 vez al mes;1 vez al mes;;2;0;2;;;;;2;;;;;2;;;;1;2;0;CORONA;NC;;;;;;;;;400 CONEJOS;;;;;;;;;;LA REDONDA;;;;;;;;SAN FELIPE;;BAILY;;;;Calidad;;;;;;;;;;Bebida de categoría;;;;;;;;;;Bebida suave, ligera;;;;;;;;Recomendación;;Sabor;;;;Fiestas, reuniones particulares;Por gusto;No;;;;;;;;;;;;No maneja / Sin automóvil;;;15;2-3 SM;Metro;0;1;60,00;Sí;ZTE;Precio;Telcel;Plan;Regular;Muy Mala;Regular;Mala;Regular;Muy Mala;Muy Mala;Regular;Regular;NS/NC;1;3;4;5;4;4;1;3;1;1;3;4;3;2;1;1;4;3;4;5;1;0;0;3;18-29;Viudo;Hasta prepa (o equivalente) completa;9;Bajo-Medio;2 - 7 SM;1,50;;35,00;Medio-Alto
56;417;04369;10:30:00 AM;10:57:00 AM;Mujer;21;Soltero;Prepa (o equivalente) completa;5;0;0;2;1;2;0;Hijo (a);Sí;Sí;;Sí;Sí;1;No;0;No;0;Sí;1;No;0;Sí;Sí;1;No;No;No;Sí;Sí;No;No;Sí;No;;1 vez a la quincena;1 vez al mes;;;1 vez al mes;;1 vez al mes;1 vez a la semana;;;;1 vez al mes;1 vez a la quincena;;;1 vez al mes;;0;2;6;2;;;1;;1;4;;;;1;1;;;1;;Noche Buena;;Kranken;Captain Morgan;;;;;José Cuervo;;;;Red Label;;Smirnoff;;;;;;;;;;Fourloko;;;;;;Bailey's;;;;Recomendación;;Recomendación;Recomendación;;;;;Recomendación;;;;Recomendación;;Sabor;;;;;;;;;;Otra razón;;;;;;Sabor;;;;Casa de amigos, de familiares;Por diversión;No;;;;;;;;;;;;No maneja / Sin automóvil;;;20;1-2 SM;Metro;0;1;125,00;Sí;Samsung;Precio;AT&T;Prepago;Bueno;Regular;Regular;Regular;Buena;Muy Mala;Buena;Buena;Regular;Buena;6;5;7;5;5;5;4;3;1;1;4;2;6;6;6;5;6;3;2;4;1;5;0;4;18-29;Soltero;Hasta prepa (o equivalente) completa;12;Bajo-Medio;<= 2 SM;0,80;;37,20;Medio-Alto
25;600;4480;5:40:00 AM;6:04:00 AM;Mujer;23;Soltero;Licenciatura completa (o pasante);4;1;0;1;0;2;0;Hijo (a);Sí;Sí;;No;No;0;No;0;No;0;Sí;1;No;0;No;Sí;1;No;No;No;No;No;No;No;No;No;;;;;;1 vez a la quincena;;;1 vez a la quincena;;;;;;;;;;0;0;0;;;;3;;;5;;;;;;;;;;;;;;;;;;José Cuervo;Don Roberto;;;;;Absolut;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sabor;Sabor;;;;;Precio;;;;;;;;;;;;;;;;;;;;Fiestas, reuniones particulares;Por diversión;No;;;;;;;;;;;;A veces;No;;15;1-2 SM;Metro;0;1;150,00;Sí;Sony;Calidad;Telcel;Plan;Muy bueno;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;9;6;7;5;8;6;8;4;7;5;9;7;6;6;6;6;9;9;8;6;7;7;5;11;18-29;Soltero;Licenciatura o más;17;Medio-Alto;<= 2 SM;2,75;;16,00;Medio-Alto
37;725;04310;2:02:00 PM;2:18:00 PM;Hombre;20;Soltero;Prepa (o equivalente) completa;3;0;1;1;1;0;0;Hijo (a);Sí;Sí;;Sí;No;0;No;0;No;0;Sí;1;No;0;Sí;Sí;1;No;No;No;No;No;No;No;No;No;;Mas de 2 veces a la semana;;;;1 vez al mes;;1 vez al mes;1 vez al mes;;;;;;;;;;3;0;3;;;;1;;1;1;;;;;;;;;;HEINEKEN;;;;;;;;RANCHO ESCONDIDO;;;;RED CABEL;;KOSAKO;;;;;;;;;;;;;;;;;;;;Sabor;;;;;;;;Sabor;;;;Sabor;;Sabor;;;;;;;;;;;;;;;;;;;;Otro lugar;Por gusto;No;;;;;;;;;;;;Nunca;No;;16;1-2 SM;Metro;0;1;50,00;Sí;Huawei;Calidad;Telcel;Plan;Regular;Buena;Regular;Buena;Buena;Regular;Regular;Buena;Muy buena;Buena;8;6;8;8;8;8;7;7;8;7;5;5;5;6;7;5;5;5;5;6;4;4;5;12;18-29;Soltero;Hasta prepa (o equivalente) completa;12;Medio-Alto;<= 2 SM;4,00;;42,00;Medio-Alto
119;663;04909;2:18:00 AM;2:32:00 AM;Mujer;27;Soltero;Licenciatura completa (o pasante);2;0;0;2;0;0;0;Hermano (a);Sí;Sí;;Sí;Sí;1;No;0;No;0;No;0;No;0;Sí;Sí;1;No;No;No;No;No;No;Sí;No;No;;1 vez a la semana;2 veces a la semana;;;;;2 veces a la semana;1 vez a la quincena;;;;;;;2 veces a la semana;;;3;2;9;1;;;;;3;3;;;;;;;2;;;CORONA;LEON;CAPITAN MORGAN;BACARDI;;;;;;;;;RED LABEL;JACK DANIELS;SMIRNOFF;ABSOLUT VOD;;;;;;;;;;;;;CURADO;NATURAL;;;;;Calidad;Mensajes publicitarios;Sabor;Pureza;;;;;;;;;Efecto estimulante;Sabor;Precio;Bebida de categoría;;;;;;;;;;;;;Sabor;Calidad;;;;;Fiestas, reuniones particulares;Para convivir;No;;;;;;;;;;;;Nunca;No;;18;2-3 SM;Metro;0;1;270,00;Sí;Motorola;Precio;Telcel;Plan;Bueno;Regular;Regular;Buena;Buena;Regular;Regular;Buena;Mala;Regular;5;3;7;8;5;7;5;6;3;3;7;5;7;7;3;3;7;6;4;8;7;7;6;10;18-29;Soltero;Licenciatura o más;17;Bajo-Medio;2 - 7 SM;5,00;;96,30;Medio-Alto
2;405;04300;3:03:00 AM;3:22:00 AM;Mujer;24;Soltero;Licenciatura completa (o pasante);4;0;0;3;0;1;0;Hijo (a);Sí;Sí;;Sí;No;0;No;0;No;0;No;0;No;0;Sí;Sí;1;No;No;No;No;Sí;No;No;No;No;;1 vez a la semana;;;;;;1 vez al mes;1 vez al mes;;;;;1 vez al mes;;;;;4;0;4;;;;;;1;3;;;;;2;;;;;INDIO;MODELO;;;;;;;;;;;;;;;;;;;;;;;CARIBE;SKYY;;;;;;;;;Sabor;Efecto estimulante;;;;;;;;;;;Recomendación;;Sabor;;;;;;;;;;Sabor;Sabor;;;;;;;;;Bares, cantinas, antros;Para convivir;Sí;;;Sí;;;;;;;;;No maneja / Sin automóvil;;;17;1-2 SM;Metro;0;1;100,00;Sí;Motorola;Precio;Movistar;Prepago;Bueno;Regular;Mala;Regular;Regular;Regular;Buena;Mala;Mala;Regular;5;3;3;3;5;5;5;3;2;1;5;3;2;1;1;1;6;6;4;5;5;1;1;9;18-29;Soltero;Licenciatura o más;17;Bajo-Medio;<= 2 SM;2,25;;23,20;Medio-Alto
54;725;04310;6:04:00 PM;6:20:00 PM;Mujer;22;Soltero;Prepa (o equivalente) completa;7;0;2;0;3;2;0;Padre – Madre;Sí;Sí;;Sí;No;0;No;0;No;0;Sí;1;Sí;1;Sí;Sí;1;No;No;No;No;Sí;No;No;Sí;No;;1 vez a la quincena;;;;1 vez a la quincena;1 vez a la quincena;1 vez al mes;Mas de 2 veces a la semana;;;;;Mas de 2 veces a la semana;;;;;0;3;9;;;;3;1;3;2;;;;;2;;;;;VICTORIA;CORONA;;;;;;;RANCHO ESCONDIDO;;ARTESANAL;;;;ABSOLUT;;;;;;;;;;SKY BLUE;NEW MIX;;;;;BAILEYS;;;;Sabor;;;;;;;;Costumbre;;;;Recomendación;;Costumbre;;;;;;;;;;Costumbre;;;;;;Sabor;;;;Fiestas, reuniones particulares;Por gusto;No;;;;;;;;;;;;No maneja / Sin automóvil;;;14;1-2 SM;Metro;0;1;50,00;Sí;Huawei;Precio;Telcel;Plan;Bueno;Regular;Buena;Buena;Buena;Regular;Buena;Buena;Muy Mala;Buena;6;4;7;5;5;5;7;4;4;4;7;7;7;5;3;3;8;5;3;5;6;5;0;15;18-29;Soltero;Hasta prepa (o equivalente) completa;12;Medio-Alto;<= 2 SM;2,14;;81,00;Medio-Alto
66;417;04369;12:33:00 PM;1:02:00 AM;Mujer;28;Soltero;Prepa (o equivalente) completa;3;0;0;2;0;0;1;Otro;Sí;Sí;;No;No;0;No;0;No;0;Sí;1;Sí;1;No;Sí;1;No;No;No;No;No;No;No;No;No;;;;;;1 vez al mes;1 vez al mes;;1 vez al mes;;;;;;;;;;0;0;0;;;;1;1;;2;;;;;;;;;;;;;;;;;;Don Julio;;Scorpio;;;;Absolut;;;;;;;;;;;;;;;;;;;;;;;;;;;;Efecto estimulante;;Sabor;;;;Sabor;;;;;;;;;;;;;;;;;;;;Fiestas, reuniones particulares;Por diversión;No;;;;;;;;;;;;No maneja / Sin automóvil;;;7;2-3 SM;Metro;0;1;150,00;Sí;Samsung;Calidad;AT&T;Plan;Bueno;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Mala;Buena;4;3;4;NS/NC;3;NS/NC;3;NS/NC;7;NS/NC;8;NS/NC;7;NS/NC;6;7;7;7;3;5;5;7;6;10;18-29;Soltero;Hasta prepa (o equivalente) completa;12;Bajo-Medio;2 - 7 SM;3,33;;4,00;Bajo-Medio
83;591;04480;11:01:00 AM;11:30:00 AM;Hombre;27;Soltero;Licenciatura completa (o pasante);6;0;1;3;0;2;0;Hijo (a);Sí;Sí;;Sí;Sí;1;Sí;1;Sí;1;Sí;1;Sí;1;Sí;Sí;1;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;NA;2 veces a la semana;1 vez al mes;1 vez al mes;1 vez al mes;1 vez al mes;1 vez al mes;1 vez al mes;1 vez al mes;1 vez al mes;1 vez al mes;1 vez a la semana;1 vez al mes;1 vez al mes;1 vez al mes;1 vez al mes;1 vez al mes;1 vez al mes;2;1;5;3;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;MODELO;CORONA;CASTILLO;TORRES 10;NA;NA;NA;NA;DON RAMON;NA;NA;NA;NA;NA;NA;NA;NA;NA;NC;NC;REDONDA;NA;NA;NA;NA;NA;NA;NA;SAN FELIPE;NA;KALUHA;NA;NA;NA;Precio;Bebida de categoría;Calidad;Precio;;;;;Bebida de categoría;Precio;;;;;;;;;;;Sabor;Calidad;;;;;;;Precio;;Precio;;;;Casa de amigos, de familiares;Por gusto;No;;;;;;;;;;;;A veces;No;;NS/NC;7-10 SM;Metro;0;1;200,00;Sí;Apple;Calidad;Telcel;Plan;Bueno;Buena;Regular;Muy buena;Buena;Mala;Regular;Regular;Mala;Buena;9;7;9;6;10;7;7;4;10;8;9;6;10;7;9;5;5;5;1;8;9;9;7;4;18-29;Soltero;Licenciatura o más;17;Bajo-Medio;> 7 SM;0,67;;54,30;Medio-Alto
23;600;4480;3:33:00 AM;3:56:00 AM;Hombre;36;Unión libre;Licenciatura completa (o pasante);2;0;0;1;1;0;0;Es jefe (a) de familia;Sí;Sí;;Sí;No;0;No;0;No;0;Sí;1;No;0;No;No;0;No;No;Sí;No;No;No;Sí;No;No;;1 vez a la quincena;;;;1 vez a la quincena;;;;;;1 vez a la semana;;;;1 vez a la semana;;;6;0;6;;;;4;;;;;;2;;;;1;;;Dos equis;Modelo;;;;;;;El Jimador;100 años;;;;;;;;;;;Martinez y Ayala;;;;;;;;Caseros;;;;;;Sabor;Precio;;;;;;;Sabor;Sabor;;;;;;;;;;;Bebida de categoría;;;;;;;;Otra razón;;;;;;En mi casa;Otra razón;No;;;;;;;;;;;;Nunca;No;;15;3-5 SM;Automóvil;1;0;1200,00;Sí;Apple;Calidad;AT&T;Prepago;Muy bueno;Buena;Muy buena;Muy buena;Buena;Regular;Buena;Muy buena;Muy buena;Regular;8;6;8;6;8;8;6;6;5;5;9;7;8;8;4;5;9;9;9;9;7;9;8;8;30-49;Casado-Unión Libre;Licenciatura o más;17;Bajo-Medio;2 - 7 SM;4,00;;32,90;Medio-Alto
26;600;4480;6:17:00 AM;6:45:00 AM;Mujer;31;Divorciado/Separado;Maestría (completa o pasante);2;0;1;0;1;0;0;Es jefe (a) de familia;Sí;Sí;;Sí;No;0;No;0;No;0;Sí;1;No;0;No;No;0;No;No;No;No;No;Sí;No;No;No;;1 vez al mes;;;;1 vez al mes;;;;;;;;;2 veces a la semana;;;;5;0;5;;;;7;;;;;;;;;2;;;;Heineken;Dox equis;;;;;;;Cazadores;Cabrito;;;;;;;;;;;;;;;;;Red Bull;Blue;;;;;;;Sabor;Otra razón;;;;;;;Sabor;Precio;;;;;;;;;;;;;;;;;Otra razón;Otra razón;;;;;;;Fiestas, reuniones particulares;Para mejorar el ánimo;No;;;;;;;;;;;;Nunca;No;;17;3-5 SM;Automóvil;1;0;600,00;Sí;Apple;Tecnología;Telcel;Plan;Muy bueno;Buena;Buena;Muy buena;Buena;Regular;Buena;Buena;Regular;Regular;7;4;8;5;5;5;7;4;5;5;8;6;8;7;4;6;8;8;8;8;9;8;7;6;30-49;Divorciado/Separado;Licenciatura o más;19;Bajo-Medio;2 - 7 SM;3,00;;29,20;Medio-Alto
30;600;4480;5:20:00 AM;5:48:00 AM;Mujer;59;Casado;Licenciatura completa (o pasante);4;0;0;2;0;2;0;Esposo (a);Sí;Sí;;No;No;0;No;0;No;0;Sí;1;No;0;No;No;0;No;No;No;No;No;No;No;No;No;;;;;;1 vez al mes;;;;;;;;;;;;;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;Hornitos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Recomendación;;;;;;;;;;;;;;;;;;;;;;;;;;Fiestas, reuniones particulares;Porque me ayuda;No;;;;;;;;;;;;Siempre o casi siempre;No;;20;Hasta 1 SM;Automóvil;1;0;800,00;Sí;LG;Otra;Telcel;Prepago;Muy malo;7;Regular;Mala;Buena;Mala;Mala;Buena;Regular;Buena;5;1;7;2;5;3;5;2;3;3;9;4;4;4;7;2;4;1;1;4;8;6;5;8;50 +;Casado-Unión Libre;Licenciatura o más;17;Bajo-Medio;<= 2 SM;2,00;;1,00;Bajo-Medio
35;600;4480;2:57:00 AM;3:31:00 AM;Hombre;35;Casado;Prepa (o equivalente) completa;4;0;2;0;2;0;0;Es jefe (a) de familia;Sí;Sí;;Sí;No;0;No;0;No;0;Sí;1;No;0;No;No;0;No;No;Sí;No;No;No;No;No;No;;Mas de 2 veces a la semana;;;;Mas de 2 veces a la semana;;;;;;1 vez a la quincena;;;;;;;3;0;3;;;;3;;;;;;2;;;;;;;Negra Modelo;;;;;;;;Cazadores;;;;;;;;;;;;Antaño;;;;;;;;;;;;;;Sabor;;;;;;;;Sabor;;;;;;;;;;;;Sabor;;;;;;;;;;;;;;Fiestas, reuniones particulares;Por gusto;Sí;;;Sí;;;;;;;;;A veces;Sí;Rebasó nivel permitido;15;5-7 SM;Automóvil;1;0;1000,00;Sí;Apple;Precio;Telcel;Plan;Bueno;8;6;7;7;Buena;6;8;6;Muy buena;6;4;8;4;8;5;7;5;6;4;8;6;8;8;8;4;5;5;5;8;7;7;6;10;30-49;Casado-Unión Libre;Hasta prepa (o equivalente) completa;12;Bajo-Medio;2 - 7 SM;2,50;;82,00;Medio-Alto
36;600;4480;3:43:00 AM;4:06:00 AM;Mujer;30;Divorciado/Separado;Maestría (completa o pasante);2;0;1;0;1;0;0;Es jefe (a) de familia;Sí;Sí;;Sí;No;0;No;0;No;0;Sí;1;No;0;No;No;0;No;No;No;No;No;Sí;No;No;No;;1 vez al mes;;;;1 vez al mes;;;;;;;;;2 veces a la semana;;;;5;0;5;;;;7;;;;;;;;;2;;;;Modelo;Dox equis;;;;;;;Cazadores;Don Ramón;;;;;;;;;;;;;;;;;Red Bull;Blue;;;;;;;Sabor;Otra razón;;;;;;;Sabor;Precio;;;;;;;;;;;;;;;;;Otra razón;Otra razón;;;;;;;Casa de amigos, de familiares;Para convivir;No;;;;;;;;;;;;Nunca;No;;16;3-5 SM;Automóvil;1;0;600,00;Sí;Apple;Tecnología;Telcel;Plan;Muy bueno;7;Buena;Muy buena;6;Regular;Muy buena;6;Regular;Regular;7;4;9;5;8;5;7;4;5;5;9;6;7;5;3;6;8;8;4;8;9;9;7;8;30-49;Divorciado/Separado;Licenciatura o más;19;Bajo-Medio;2 - 7 SM;4,00;;29,20;Medio-Alto
